Geneid	SRR1554536(Adult 1)	SRR2071347(Adult 1)	SRR1554539(Adult 2)	SRR2071350(Adult 2)	SRR15545534(Adult 3)	SRR2071345(Adult 3)	SRR1554537(Fetus 1)	SRR2071348(Fetus 1)	SRR1554566(Fetus 2)	SRR2071377(Fetus 2)	SRR1554567(Fetus 3)	SRR2071378(Fetus 3)
NR_160925	0	0	0	0	0	0	0	0	0	0	0	0
NR_160924	0	0	0	0	0	0	0	0	0	0	0	0
NR_160923	0	0	0	0	0	0	0	0	0	0	0	0
NR_160922	0	0	0	0	0	0	0	0	0	0	0	0
NR_160921	0	1	1	1	2	2	0	1	1	2	1	1
NR_160920	0	0	0	0	0	0	0	0	0	0	0	0
NM_001368996	0	0	0	0	0	0	0	0	0	0	0	0
NM_001368995	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369000	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369001	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369003	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369002	0	0	0	0	0	0	0	0	0	0	0	0
NM_018225	1306	1885	3704	3925	2834	3009	7132	13283	7648	8140	8335	8831
NR_162131	0	0	0	0	0	0	0	0	0	0	0	0
NM_014471	0	0	0	0	0	0	2	2	0	0	2	2
NM_001195536	0	0	3	3	1	1	1	4	0	0	0	0
NM_004323	0	0	0	0	0	0	0	0	0	0	0	0
NM_001172415	0	0	0	0	0	0	0	0	0	0	0	0
NM_001349286	0	0	0	0	0	0	0	0	0	0	0	0
NM_001349299	0	0	0	0	0	0	0	0	0	0	0	0
NM_016410	21	28	144	80	131	41	143	216	194	178	176	160
NR_108109	0	0	0	0	0	0	0	0	0	0	0	0
NR_108110	0	0	0	0	0	0	0	0	0	0	0	0
NR_108108	0	0	0	0	0	0	0	0	0	0	0	0
NM_001170	30	47	31	32	39	44	4	4	4	4	7	8
NR_134513	0	0	0	0	0	0	0	0	0	0	0	0
NM_001318157	0	0	2	2	1	1	2	2	0	0	0	0
NM_001318156	0	0	0	0	0	0	0	0	0	0	0	0
NM_001318158	0	0	0	0	0	0	0	0	0	0	0	0
NR_134515	0	0	0	0	0	0	0	0	0	0	0	0
NR_134514	0	0	0	0	0	0	0	0	0	0	0	0
NM_004925	3	3	3	3	2	2	2	3	7	7	1	1
NM_139235	0	0	0	0	0	0	0	0	0	0	0	0
NM_022917	121	179	822	883	928	975	1251	2325	1593	1723	1153	1261
NM_001318144	0	0	0	0	0	0	0	0	0	0	0	0
NR_106910	0	0	0	0	1	1	7	9	6	6	5	5
NR_003667	7	15	71	83	45	53	51	108	57	66	108	133
NR_003573	113	54	20	30	85	68	59	82	154	199	148	130
NR_023917	50	68	345	363	146	163	368	743	321	327	826	871
NM_001197098	0	0	0	0	1	2	0	0	0	0	1	1
NM_007343	0	0	0	0	0	0	0	0	0	0	0	0
NM_002771	0	0	0	0	0	0	1	1	0	0	0	0
NM_001197097	0	0	0	0	0	0	0	0	1	1	2	2
NR_109755	0	0	1	0	0	0	10	21	25	26	24	25
NM_001282530	0	2	8	9	4	4	36	57	35	38	23	26
NM_017811	1206	1727	4925	5313	4074	4529	12159	22668	15994	17056	16669	17941
NR_102370	0	0	0	0	0	0	1	1	0	0	0	0
NR_003685	0	0	0	0	0	0	0	3	1	1	2	2
NM_015397	401	572	1231	1317	731	793	5381	9871	5091	5446	6245	6712
NM_194313	69	89	130	141	81	90	706	1260	1998	2149	618	648
NM_001184941	0	0	0	0	0	0	0	0	0	0	0	0
NM_001184945	0	0	0	0	0	0	0	0	0	0	0	0
NM_147202	0	0	0	0	0	0	0	0	0	0	0	0
NM_147169	0	0	0	0	0	0	0	0	0	0	0	0
NM_001184942	0	0	0	0	0	0	0	0	0	0	0	0
NM_001184943	0	0	0	0	0	0	0	0	0	0	0	0
NM_001252195	0	0	0	0	0	0	0	0	0	0	0	0
NM_147168	0	0	0	0	0	0	0	0	0	0	0	0
NM_020702	5394	7759	2097	2269	5778	6283	4401	8028	8684	9351	5569	5997
NM_032596	3	3	15	16	15	20	104	196	143	156	103	104
NM_001184940	0	0	0	0	0	0	0	0	0	0	0	0
NM_198573	12259	18661	3992	4502	5569	6514	2671	5016	2637	2868	2292	2605
NM_147164	0	0	0	0	0	0	0	0	0	0	0	0
NM_001207011	0	0	4	4	0	0	23	41	2	2	2	3
NR_024369	0	0	13	15	14	14	147	284	35	37	79	82
NM_001842	0	0	0	0	0	0	0	0	0	0	0	0
NM_148179	9	13	14	18	23	28	7	17	25	26	13	15
NM_001281426	0	0	0	0	0	0	0	0	0	0	0	0
NM_001258332	0	0	1	1	6	7	6	15	3	4	0	1
NM_001282206	0	0	0	0	0	0	0	0	0	0	0	0
NR_135148	2	3	2	3	0	2	8	13	8	9	6	6
NM_000155	46	59	123	132	84	94	206	348	270	285	289	303
NM_147157	0	0	0	0	0	0	0	0	0	0	0	0
NM_001281427	1	1	0	0	1	1	3	10	2	2	14	15
NM_001282205	0	0	0	0	0	0	0	0	0	0	0	0
NM_148178	0	0	0	0	0	0	0	0	0	0	0	0
NM_001281425	0	0	0	0	0	0	3	5	3	5	0	0
NM_024348	1	2	0	1	3	3	7	11	41	42	26	27
NM_001282207	0	0	0	0	0	0	0	0	0	0	0	0
NM_007234	0	0	0	0	0	0	0	0	0	0	0	0
NM_001320038	88	139	119	137	167	188	122	253	128	137	139	156
NM_005866	0	0	0	0	0	0	0	0	0	0	0	0
NM_002989	0	2	0	0	0	0	0	0	4	4	5	5
NM_001282209	0	0	0	0	0	0	0	0	0	0	0	0
NM_001282208	0	0	4	5	4	5	5	12	5	6	7	7
NM_001141917	2	5	6	8	7	9	21	45	13	14	5	6
NM_006664	12	15	4	4	7	7	67	121	124	129	85	88
NR_052010	5	10	14	15	9	9	40	76	70	80	71	83
NM_001320037	0	0	0	0	0	0	2	1	0	0	0	0
NR_104108	0	0	0	0	0	0	0	0	0	0	0	0
NM_001142784	0	1	5	5	8	8	17	40	15	15	30	38
NM_006274	62	91	44	49	22	23	8	8	0	0	35	37
NM_001017363	0	0	4	4	2	2	15	30	246	271	51	54
NM_001371945	0	0	0	0	0	0	0	3	2	3	1	3
NR_024481	2	2	6	6	0	0	2	5	6	6	3	4
NR_136307	0	0	0	0	0	0	0	0	0	0	0	0
NM_001309426	0	0	2	2	0	0	1	1	0	0	1	1
NR_136308	0	0	0	0	0	0	0	0	0	0	0	0
NM_001309427	0	0	0	0	0	0	0	0	0	0	0	0
NM_001347982	0	0	0	0	0	0	0	0	0	0	0	0
NM_001304333	0	0	0	0	0	0	0	0	0	0	0	0
NR_109756	0	0	4	4	0	0	5	8	9	10	13	14
NM_001347983	0	0	0	0	0	0	0	0	0	0	0	0
NM_015297	0	0	0	0	0	0	0	0	0	0	0	0
NM_032634	41	56	267	290	302	327	534	980	395	432	591	641
NM_007126	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287032	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287031	0	0	0	0	0	0	0	0	0	0	0	0
NM_152850	0	0	0	0	0	0	0	0	0	0	0	0
NM_004629	205	274	446	477	437	468	2691	4888	4058	4350	2819	3065
NR_134455	3	5	1	4	1	1	32	49	70	75	43	48
NM_013442	0	0	0	0	0	0	0	0	0	0	0	0
NM_025182	0	0	0	0	0	0	0	0	0	0	0	0
NM_203299	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287033	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287391	0	0	0	0	0	0	1	4	1	1	0	0
NM_001040410	0	0	0	0	0	0	0	0	0	0	0	0
NM_001354928	0	1	7	10	4	4	15	30	25	30	18	27
NM_001201484	0	0	1	1	0	0	1	6	0	1	5	6
NM_001040411	0	0	0	0	0	0	0	0	0	0	0	0
NM_001040412	0	0	0	0	0	0	0	0	0	0	0	0
NM_001354927	0	0	0	0	1	1	1	4	15	15	3	3
NM_001317991	4	5	15	17	18	19	33	81	11	15	32	33
NR_003582	0	0	0	0	0	0	0	0	0	0	0	0
NR_110320	0	0	0	0	0	0	0	0	0	0	0	0
NR_003581	1	1	2	2	2	2	0	0	2	2	0	0
NM_001135999	10	16	205	228	117	129	663	1236	245	275	562	598
NM_001099951	0	0	0	0	0	0	0	0	0	0	0	0
NM_001318230	0	0	0	0	0	0	0	0	0	0	0	0
NM_001164310	1	1	0	0	0	0	0	0	0	0	1	1
NM_001782	21	35	12	13	15	17	49	70	83	88	54	57
NM_014450	12	18	0	0	3	4	7	12	6	6	2	2
NM_006285	6	11	22	26	75	79	182	332	158	173	250	273
NR_039813	0	0	0	0	0	0	0	1	1	1	0	0
NR_135130	2	2	2	3	4	4	9	15	5	5	7	10
